hotel,is_canceled,lead_time,arrival_date_month,arrival_date_day_of_month,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,city,temperature_2m_mean,rain_sum,people,same_room,total_stays
Resort Hotel - Bhopal,0,68,March,2,BB,USA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,0,3,Bhopal,23.231247,0.5,2.0,No,4
Resort Hotel - Lucknow,0,18,June,9,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,0,Transient,154.77,0,1,Lucknow,35.735416,0.0,3.0,Yes,4
Resort Hotel - Hyderabad,0,37,June,15,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,94.71,0,0,Hyderabad,27.472916,1.8,2.0,Yes,4
Resort Hotel - Mumbai,0,68,June,24,BB,IRL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,0,3,Mumbai,27.829163,6.3999987,2.0,No,4
Resort Hotel - Kochi,0,37,January,18,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,0,Contract,97.5,0,0,Kochi,26.781248,2.4,2.0,Yes,4
Resort Hotel - Chennai,0,12,December,17,BB,IRL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,88.2,0,0,Chennai,23.777082,8.6,2.0,No,1
Resort Hotel - Mumbai,0,0,April,17,BB,FRA,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient,107.42,0,0,Mumbai,30.250002,0.0,2.0,No,1
Resort Hotel - Delhi,0,7,November,11,BB,GBR,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,153.0,0,1,Delhi,23.958334,0.0,2.0,Yes,4
Resort Hotel - Pune,0,37,November,23,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,97.29,0,1,Pune,22.808332,0.0,1.0,Yes,5
Resort Hotel - Bangalore,0,72,January,13,BB,PRT,Direct,Direct,0,0,0,1,No Deposit,250.0,0,Transient,84.67,0,1,Bangalore,21.404167,0.0,2.0,Yes,6
Resort Hotel - Bhopal,0,72,July,4,BB,PRT,Direct,Direct,0,0,0,1,No Deposit,250.0,0,Transient,84.67,0,1,Bhopal,25.718748,23.299997,2.0,Yes,6
Resort Hotel - Chennai,0,72,March,22,BB,PRT,Direct,Direct,0,0,0,1,No Deposit,250.0,0,Transient,99.67,0,1,Chennai,28.185411,0.2,2.0,Yes,6
Resort Hotel - Ahmedabad,0,127,February,25,HB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,0,Contract,94.95,0,1,Ahmedabad,23.585419,0.0,2.0,No,7
Resort Hotel - Pune,0,78,July,24,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,5.0,0,Transient,63.6,1,0,Pune,23.408333,25.700005,2.0,Yes,7
Resort Hotel - Pune,0,48,December,1,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,0,Contract,79.5,0,0,Pune,23.570833,0.0,2.0,Yes,7
Resort Hotel - Chennai,1,60,November,3,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,107.0,0,2,Chennai,26.566668,1.8000001,2.0,Yes,7
Resort Hotel - Kochi,0,77,October,30,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,94.0,0,0,Kochi,26.827085,0.5,2.0,Yes,7
Resort Hotel - Chennai,0,99,March,14,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,87.3,1,1,Chennai,28.612501,0.0,2.0,Yes,7
Resort Hotel - Kochi,0,95,December,30,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,63.86,0,0,Kochi,28.26667,0.8,2.0,Yes,15
Resort Hotel - Delhi,1,96,January,7,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,108.3,0,2,Delhi,10.7541685,0.0,2.0,Yes,10
Resort Hotel - Kolkata,0,69,May,10,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0,Transient,65.5,0,0,Kolkata,27.179163,12.3,2.0,No,6
Resort Hotel - Hyderabad,1,45,August,8,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,108.8,0,1,Hyderabad,24.825003,7.2,3.0,Yes,4
Resort Hotel - Mumbai,1,40,April,22,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,108.8,0,1,Mumbai,29.59375,0.0,3.0,Yes,4
Resort Hotel - Mumbai,0,15,February,21,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,98.0,0,0,Mumbai,24.310415,0.1,2.0,No,4
Resort Hotel - Chennai,0,36,February,28,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,108.8,0,1,Chennai,26.627085,0.0,3.0,Yes,4
Resort Hotel - Jaipur,1,43,January,17,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,108.8,0,0,Jaipur,13.368751,0.0,3.0,Yes,4
Resort Hotel - Bangalore,0,70,January,15,HB,ROU,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,137.0,0,1,Bangalore,21.483332,0.0,2.0,Yes,5
Resort Hotel - Jaipur,1,45,February,3,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,117.81,0,0,Jaipur,17.497917,1.8000001,2.0,Yes,5
Resort Hotel - Pune,0,45,January,23,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,0,Contract,79.5,0,0,Pune,20.189583,0.0,2.0,Yes,5
Resort Hotel - Kochi,0,16,May,10,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,123.0,0,0,Kochi,28.679167,1.2,2.0,Yes,5
Resort Hotel - Chandigarh,0,70,November,1,HB,ROU,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,137.0,0,1,Chandigarh,23.483332,0.0,2.0,Yes,5
Resort Hotel - Pune,0,107,June,14,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,110.7,0,2,Pune,25.058336,1.2,2.0,Yes,7
Resort Hotel - Delhi,1,47,July,3,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,153.0,0,0,Delhi,29.287498,1.9000002,4.0,Yes,7
Resort Hotel - Kolkata,0,96,August,5,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0,Transient,58.95,0,1,Kolkata,28.385416,10.0,2.0,Yes,7
Resort Hotel - Bhopal,0,113,February,4,BB,NOR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,0,Transient-Party,82.88,0,2,Bhopal,22.647913,0.0,2.0,Yes,7
Resort Hotel - Mumbai,0,90,April,19,HB,GBR,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,243.0,0,Contract,82.35,0,0,Mumbai,30.79167,0.0,2.0,No,7
Resort Hotel - Goa,0,50,December,28,HB,IRL,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,0,Transient,119.35,0,1,Goa,26.658333,0.0,2.0,No,7
Resort Hotel - Mumbai,0,113,March,24,BB,NOR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,0,Transient-Party,67.58,0,2,Mumbai,26.952085,0.0,2.0,Yes,7
Resort Hotel - Ahmedabad,0,93,January,26,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,0,Contract,56.01,0,0,Ahmedabad,19.460417,0.0,2.0,Yes,11
Resort Hotel - Lucknow,0,76,July,2,BB,Other,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,243.0,0,Contract,110.7,0,0,Lucknow,27.210419,79.40001,2.0,Yes,14
Resort Hotel - Pune,0,3,August,27,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,88.2,1,0,Pune,23.272919,7.599999,2.0,No,1
Resort Hotel - Bhopal,0,1,November,5,BB,ARG,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,147.0,1,0,Bhopal,23.852083,0.0,2.0,Yes,1
Resort Hotel - Bangalore,0,1,January,27,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,107.0,1,2,Bangalore,21.614584,0.0,4.0,Yes,1
Resort Hotel - Bangalore,0,0,July,15,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,147.0,0,0,Bangalore,21.689583,19.400002,2.0,Yes,1
Resort Hotel - Delhi,0,0,October,14,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,117.9,0,2,Delhi,25.504168,0.0,2.0,No,1
Resort Hotel - Mumbai,0,0,November,21,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,123.0,0,0,Mumbai,26.65,0.0,2.0,Yes,1
Resort Hotel - Chennai,0,14,May,2,BB,USA,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,98.0,0,1,Chennai,32.60625,0.0,2.0,No,2
Resort Hotel - Delhi,0,10,August,10,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,117.81,0,0,Delhi,27.739584,9.6,2.0,Yes,2
Resort Hotel - Jaipur,0,5,May,30,BB,IRL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,135.0,1,2,Jaipur,37.82083,0.0,2.0,Yes,2
Resort Hotel - Delhi,0,17,May,2,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,133.0,0,1,Delhi,27.922915,0.0,2.0,Yes,3
Resort Hotel - Kochi,0,93,July,6,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,0,Contract,58.95,0,0,Kochi,26.054169,2.6999998,2.0,No,3
Resort Hotel - Kochi,1,3,July,31,HB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,136.33,0,2,Kochi,24.852087,17.6,2.0,Yes,3
Resort Hotel - Chandigarh,0,10,November,23,BB,USA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,153.0,1,0,Chandigarh,18.216665,0.0,4.0,No,2
Resort Hotel - Lucknow,0,3,January,8,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,110.5,0,0,Lucknow,13.266665,0.0,2.0,No,2
Resort Hotel - Kochi,0,51,June,2,BB,POL,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,97.0,0,0,Kochi,25.918749,34.800003,2.0,Yes,2
Resort Hotel - Chandigarh,1,71,August,25,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,110.3,0,2,Chandigarh,29.237501,1.0,3.0,Yes,2
Resort Hotel - Kolkata,1,63,February,2,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,82.0,0,2,Kolkata,20.489582,0.1,2.0,Yes,2
Resort Hotel - Kolkata,1,62,September,3,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,0,1,Kolkata,27.918755,8.5,2.0,Yes,2
Resort Hotel - Jaipur,1,101,August,30,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,73.8,0,1,Jaipur,26.495834,9.400002,2.0,Yes,2
Resort Hotel - Jaipur,0,2,October,24,HB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,3.0,0,Transient,91.5,0,0,Jaipur,25.283333,0.0,2.0,Yes,2
Resort Hotel - Ahmedabad,0,15,December,30,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,114.5,0,0,Ahmedabad,21.054167,0.0,2.0,Yes,2
Resort Hotel - Lucknow,1,51,February,12,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,110.3,0,0,Lucknow,17.175001,0.2,3.0,Yes,2
Resort Hotel - Lucknow,0,3,August,14,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,90.9,1,0,Lucknow,28.233335,9.900002,2.0,Yes,3
Resort Hotel - Kochi,1,48,January,3,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,0,Kochi,26.61458,16.599998,2.0,Yes,3
Resort Hotel - Mumbai,0,2,July,6,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,122.0,0,0,Mumbai,27.608332,14.200001,1.0,Yes,4
Resort Hotel - Chennai,0,72,January,25,BB,DEU,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,Other,0,Transient,110.7,1,0,Chennai,25.458336,0.0,2.0,Yes,4
Resort Hotel - Bhopal,0,81,May,20,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,5.0,0,Transient,85.86,0,0,Bhopal,35.12708,0.0,3.0,Yes,8
Resort Hotel - Kolkata,0,99,August,12,BB,FRA,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,58.95,0,0,Kolkata,28.697914,12.1,2.0,Yes,9
Resort Hotel - Jaipur,1,368,December,28,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,55.68,0,0,Jaipur,15.266669,0.1,2.0,Yes,10
Resort Hotel - Pune,0,364,November,9,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,55.68,0,0,Pune,23.993752,0.0,2.0,Yes,10
Resort Hotel - Jaipur,1,81,May,27,HB,PRT,Direct,Direct,0,0,0,2,No Deposit,250.0,0,Transient,124.0,0,1,Jaipur,38.633335,0.0,2.0,Yes,10
Resort Hotel - Pune,0,99,October,20,HB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,0,Contract,111.15,0,0,Pune,23.56458,7.1,2.0,Yes,10
Resort Hotel - Jaipur,0,324,March,22,HB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,134.73,0,0,Jaipur,26.206251,0.0,2.0,Yes,14
Resort Hotel - Bhopal,0,69,November,30,BB,GBR,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,0,Transient,92.45,0,1,Bhopal,17.814585,0.0,2.0,Yes,14
Resort Hotel - Chandigarh,1,79,February,26,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,108.73,0,2,Chandigarh,16.5875,0.0,3.0,Yes,21
Resort Hotel - Chennai,0,12,June,13,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,73.8,0,0,Chennai,30.549997,0.1,2.0,No,1
Resort Hotel - Delhi,0,9,September,25,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,98.0,1,2,Delhi,28.695831,0.4,2.0,No,1
Resort Hotel - Chennai,0,1,September,6,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,131.0,0,1,Chennai,28.718752,2.6000001,2.0,No,1
Resort Hotel - Ahmedabad,0,21,May,5,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,0,Ahmedabad,34.039585,0.0,2.0,Yes,1
Resort Hotel - Delhi,0,9,September,24,BB,USA,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,94.71,0,0,Delhi,29.585417,0.0,2.0,Yes,1
Resort Hotel - Hyderabad,0,109,August,17,BB,BEL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,2,Hyderabad,26.581253,1.4000002,2.0,Yes,1
Resort Hotel - Bangalore,1,109,September,6,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,1,Bangalore,22.681252,1.6000001,2.0,Yes,2
Resort Hotel - Bhopal,1,72,March,21,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,73.8,0,1,Bhopal,25.233335,0.0,2.0,Yes,2
Resort Hotel - Hyderabad,1,63,September,19,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,117.0,0,1,Hyderabad,25.900002,0.1,2.0,Yes,7
Resort Hotel - Hyderabad,0,63,November,21,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,Other,0,Transient,196.54,0,1,Hyderabad,23.291666,0.0,3.0,Yes,7
Resort Hotel - Lucknow,0,101,January,21,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,99.3,1,2,Lucknow,10.233333,0.0,3.0,Yes,7
Resort Hotel - Mumbai,0,102,January,2,BB,DEU,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,90.95,0,0,Mumbai,24.572914,0.0,2.0,Yes,7
Resort Hotel - Chandigarh,0,4,August,5,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,92.67,0,1,Chandigarh,28.633333,2.4,2.0,No,3
Resort Hotel - Lucknow,0,98,April,15,BB,FRA,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,0,Transient,71.55,1,0,Lucknow,31.066664,0.2,2.0,Yes,3
Resort Hotel - Ahmedabad,0,92,May,1,BB,FRA,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,96.49,0,2,Ahmedabad,32.74584,0.0,3.0,Yes,6
Resort Hotel - Indore,0,95,September,10,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,85.8,1,2,Indore,24.797918,15.500001,2.0,No,6
Resort Hotel - Kochi,0,102,September,16,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,96.3,0,1,Kochi,26.856247,2.0000002,2.0,Yes,7
Resort Hotel - Jaipur,1,26,February,16,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,163.0,0,0,Jaipur,17.977087,0.0,4.0,Yes,7
Resort Hotel - Lucknow,1,73,December,16,HB,PRT,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,172.0,0,1,Lucknow,16.141665,0.0,3.0,Yes,7
Resort Hotel - Goa,1,102,April,6,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,110.7,0,1,Goa,30.177084,0.0,2.0,Yes,7
Resort Hotel - Hyderabad,0,115,June,9,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0,Transient,58.95,0,1,Hyderabad,26.64583,1.3000001,2.0,Yes,7
Resort Hotel - Chennai,0,102,December,24,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,73.8,0,2,Chennai,24.777084,7.6,3.0,Yes,7
Resort Hotel - Bangalore,0,86,June,28,BB,CHE,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,0,2,Bangalore,23.795835,0.70000005,2.0,Yes,7
Resort Hotel - Kochi,0,78,November,8,HB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,139.0,0,2,Kochi,25.695831,7.0,3.0,No,7
Resort Hotel - Chandigarh,0,52,May,25,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0,Transient,67.24,0,0,Chandigarh,34.852085,0.0,2.0,Yes,7
Resort Hotel - Goa,0,29,May,13,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,116.5,0,1,Goa,31.691666,1.8000001,3.0,Yes,8
Resort Hotel - Delhi,1,101,April,14,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,96.3,0,1,Delhi,27.316666,0.5,2.0,Yes,8
Resort Hotel - Delhi,0,109,January,23,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,1,Delhi,11.195834,0.0,2.0,Yes,8
Resort Hotel - Delhi,0,92,May,27,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,71.55,0,1,Delhi,37.764587,0.0,2.0,Yes,10
Resort Hotel - Mumbai,0,92,September,7,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,71.55,0,1,Mumbai,26.283333,10.099999,2.0,Yes,10
Resort Hotel - Bangalore,0,79,January,30,HB,PRT,Direct,Direct,0,0,0,1,No Deposit,250.0,0,Transient,149.0,0,1,Bangalore,22.006248,0.0,3.0,Yes,10
Resort Hotel - Ahmedabad,0,2,October,3,BB,PRT,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0,Transient,163.0,1,0,Ahmedabad,28.402082,0.0,4.0,No,1
Resort Hotel - Bangalore,0,30,January,4,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,0,Contract,79.5,0,0,Bangalore,21.516668,2.7,2.0,No,1
Resort Hotel - Chennai,1,51,December,18,HB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,105.0,0,0,Chennai,24.324999,27.199997,1.0,Yes,1
Resort Hotel - Bangalore,1,36,November,7,BB,PRT,Direct,Direct,0,0,0,1,No Deposit,250.0,0,Transient,123.0,0,0,Bangalore,22.324997,1.3000001,1.0,No,1
Resort Hotel - Ahmedabad,1,73,June,2,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,73.8,0,2,Ahmedabad,34.437504,0.0,2.0,Yes,1
Resort Hotel - Bhopal,1,33,July,22,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,113.0,0,0,Bhopal,26.208334,6.5999994,2.0,Yes,1
Resort Hotel - Delhi,0,32,May,17,FB,PRT,Complementary,Direct,0,0,0,2,No Deposit,0.0,0,Transient,0.0,0,1,Delhi,36.243748,0.0,4.0,Yes,1
Resort Hotel - Jaipur,0,8,January,10,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,0,Jaipur,11.002083,0.0,2.0,Yes,1
Resort Hotel - Goa,0,100,July,22,BB,FRA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,73.8,1,1,Goa,25.547918,41.800003,2.0,No,2
Resort Hotel - Pune,0,1,October,1,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,114.5,0,0,Pune,25.739584,0.0,2.0,Yes,2
Resort Hotel - Bhopal,0,100,July,26,BB,FRA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,73.8,0,2,Bhopal,25.206251,7.7999997,2.0,Yes,2
Resort Hotel - Chandigarh,0,100,August,17,BB,FRA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,73.8,0,1,Chandigarh,27.522917,2.3,2.0,No,2
Resort Hotel - Pune,0,9,October,26,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,88.2,0,1,Pune,23.302088,0.0,2.0,No,1
Resort Hotel - Mumbai,1,5,December,16,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,0,0,Mumbai,24.71667,0.0,2.0,Yes,1
Resort Hotel - Goa,0,0,May,4,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,306.0,0,Transient,85.1,0,0,Goa,29.489586,0.0,2.0,No,1
Resort Hotel - Lucknow,0,9,July,31,BB,DEU,Online TA,TA/TO,0,0,0,0,No Deposit,184.0,0,Transient,89.0,0,0,Lucknow,28.29167,11.1,1.0,Yes,1
Resort Hotel - Goa,0,2,October,5,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,80.1,0,0,Goa,26.539581,6.0,1.0,No,1
Resort Hotel - Delhi,0,2,March,27,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,98.0,0,0,Delhi,28.785418,0.0,2.0,No,1
Resort Hotel - Pune,0,9,June,14,BB,DEU,Online TA,TA/TO,0,0,0,0,No Deposit,184.0,0,Transient,101.0,1,0,Pune,25.058336,1.2,1.0,Yes,1
Resort Hotel - Goa,1,5,June,26,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,0,0,Goa,26.00625,59.600002,2.0,Yes,1
Resort Hotel - Chandigarh,0,2,May,19,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,167.0,0,1,Chandigarh,36.10625,0.0,2.0,Yes,1
Resort Hotel - Indore,0,44,May,19,HB,PRT,Online TA,TA/TO,0,0,0,3,No Deposit,240.0,0,Transient,225.0,2,0,Indore,35.327084,0.0,3.0,Yes,2
Resort Hotel - Goa,0,80,June,26,BB,FRA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,97.0,1,0,Goa,26.00625,59.600002,2.0,No,2
